Product Name,Price,Private Network Price,Physical Cores,RAM (GB),Storage,Port Speed,Region - Australia (Sydney),Region - Asia (Singapore),Region - Asia (Japan),Region - Asia (India),Region - US (Central),Region - US (East),Region - US (West),Region - UK,Networking - 80 TB Traffic,Networking - 160 TB Traffic,Networking - 243 TB Traffic,Networking - Unlimited Traffic,Server Management - Managed,Monitoring - Full,Storage - 1 TB SSD,Storage - 2 TB SSD,Storage - 4 TB SSD,Backup - 100 GB FTP,Backup - 500 GB FTP,Backup - 1 TB FTP,Backup - 2 TB FTP
CLOUD VDS S,$57.99 ,$7.49 ,3,24,180 GB NVMe,250 Mbit/s,$15.60 ,$18.15 ,$18.75 ,$17.25 ,$9.80 ,$12.10 ,$11.00 ,$9.80 ,$103.49 ,$206.99 ,$310.49 ,$413.99 ,$144.99 ,$14.99 ,$32.99 ,$50.59 ,$126.49 ,$5.79 ,$18.39 ,$29.89 ,$45.99 
CLOUD VDS M,$68.99 ,$7.49 ,4,32,240 GB NVMe,500 Mbit/s,$20.20 ,$23.60 ,$24.25 ,$22.40 ,$12.70 ,$15.00 ,$13.80 ,$12.70 ,$103.49 ,$206.99 ,$310.49 ,$413.99 ,$144.99 ,$14.99 ,$32.99 ,$50.59 ,$126.49 ,$5.79 ,$18.39 ,$29.89 ,$45.99 
CLOUD VDS L,$103.99 ,$7.49 ,6,48,360 GB NVMe,750 Mbit/s,$28.20 ,$33.05 ,$34.00 ,$31.40 ,$12.70 ,$15.00 ,$13.80 ,$12.70 ,$103.49 ,$206.99 ,$310.49 ,$413.99 ,$144.99 ,$32.99 ,$50.59 ,$126.49 ,$5.79 ,$18.39 ,$29.89 ,$45.99 ,$45.99 
CLOUD VDS XL,$137.99 ,$7.49 ,8,64,480 GB NVMe,1 Gbit/s,$37.05 ,$43.45 ,$44.75 ,$41.30 ,$12.70 ,$15.00 ,$13.80 ,$12.70 ,$103.49 ,$206.99 ,$310.49 ,$413.99 ,$144.99 ,$14.99 ,$32.99 ,$50.59 ,$126.49 ,$5.79 ,$18.39 ,$29.89 ,$45.99 
CLOUD VDS XXL,$194.99 ,$7.49 ,12,96,720 GB NVMe,1 Gbit/s,$58.95 ,$69.00 ,$71.00 ,$65.55 ,$15.60 ,$17.90 ,$16.70 ,$15.60 ,$103.49 ,$206.99 ,$310.49 ,$413.99 ,$144.99 ,$14.99 ,$32.99 ,$50.59 ,$126.49 ,$5.79 ,$18.39 ,$29.89 ,$45.99 
