Product Name,Price,Private Network Price,vCPU Cores,RAM (GB),Storage,Port Speed,Region - Australia (Sydney),Region - Asia (Singapore),Region - Asia (Japan),Region - Asia (India),Region - US (Central),Region - US (East),Region - US (West),Region - UK,Storage - 300 GB SSD,Storage - 150 GB NVMe,Storage - 400 GB SSD,Storage - 200 GB NVMe,Storage - 800 GB SSD,Storage - 400 GB NVMe,Storage - 1 TB SSD,Storage - 500 GB NVMe,Storage - 1.2 TB SSD,Storage - 600 GB NVMe,Storage - 1.4 TB SSD,Storage - 700 GB NVMe,Firewall Enabled,Private Networking Enabled,Server Management - Managed,Monitoring - Full,Auto Backup,Backup - 100 GB FTP,Backup - 500 GB FTP,Backup - 1 TB FTP,Backup - 2 TB FTP,Notes,,,,,,,,,,,
CLOUD VPS 10,$4.95 ,$2.99 ,3,8,75 GB NVMe or 150 GB SSD,300 Mbit/s,$2.40 ,$2.90 ,$2.90 ,$2.70 ,$1.20 ,$1.80 ,$1.50 ,$1.20 ,$1.95 ,$2.30 ,,,,,,,,,,,$1.29 ,$2.99 ,$144.99 ,$14.99 ,$1.85 ,$5.79 ,$18.39 ,$29.89 ,$45.99 ,,,,,,,,,,,,
CLOUD VPS 20,$7.95 ,$2.99 ,6,12,100 GB NVMe or 200 GB SSD,300 Mbit/s,$3.70 ,$4.40 ,$4.50 ,$4.20 ,$1.80 ,$2.80 ,$2.30 ,$1.80 ,,,$2.40 ,$3.15 ,,,,,,,,,$1.29 ,$2.99 ,$144.99 ,$14.99 ,$2.45 ,$5.79 ,$18.39 ,$29.89 ,$45.99 ,,,,,,,,,,,,
CLOUD VPS 30,$15.00 ,$2.99 ,8,24,200 GB NVMe or 400 GB SSD,300 Mbit/s,$7.50 ,$8.80 ,$9.00 ,$8.30 ,$3.70 ,$5.50 ,$4.50 ,$3.70 ,,,,,$4.75 ,$4.00 ,,,,,,,$1.29 ,$2.99 ,$144.99 ,$14.99 ,$2.45 ,$5.79 ,$18.39 ,$29.89 ,$45.99 ,,,,,,,,,,,,
CLOUD VPS 40,$26.00 ,$2.99 ,12,48,250 GB NVMe or 500 GB SSD,800 Mbit/s,$13.30 ,$15.70 ,$16.00 ,$14.70 ,$6.50 ,$9.70 ,$8.10 ,$6.50 ,,,,,,,$6.10 ,$4.75 ,,,,,$1.29 ,$2.99 ,$144.99 ,$14.99 ,$7.35 ,$5.79 ,$18.39 ,$29.89 ,$45.99 ,,,,,,,,,,,,
CLOUD VPS 50,$46.00 ,$2.99 ,16,64,300 GB NVMe or 600 GB SSD,1 Gbit/s,$19.70 ,$23.20 ,$23.70 ,$21.80 ,$9.60 ,$14.30 ,$11.90 ,$9.60 ,,,,,,,,,$7.55 ,$5.85 ,,,$1.29 ,$2.99 ,$144.99 ,$14.99 ,$9.25 ,$5.79 ,$18.39 ,$29.89 ,$45.99 ,,,,,,,,,,,,
CLOUD VPS 60,$59.00 ,$2.99 ,18,96,350 GB NVMe or 700 GB SSD,1 Gbit/s,$26.10 ,$30.70 ,$31.40 ,$28.80 ,$12.70 ,$18.90 ,$15.80 ,$12.70 ,,,,,,,,,,$4.50 ,$8.55 ,$7.10 ,$1.29 ,$2.99 ,$144.99 ,$14.99 ,$11.65 ,$5.79 ,$18.39 ,$29.89 ,$45.99 ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
